Un administrateur a défini un compte d’utilisateur local avec un mot de passe secret sur le routeur R1 pour être utiliser avec SSH. Quelles sont les trois étapes supplémentaires nécessaires pour configurer R1 pour accepter uniquement les connexions SSH chiffrées ? (Choisissez trois réponses.);1;6;3;Activez les sessions SSH entrantes à l’aide des commandes de ligne VTY.;Configurer le nom de domaine IP.;Générez des clés pré-partagées bidirectionnelles.;Configurez DNS sur le routeur.;Activez les sessions Telnet entrantes à l’aide des commandes de ligne VTY.;Générer les clés SSH.;1;2;6;;;;;;;;;;
Quelles propositions sont correctes dans le cadre de la comparaison des en-têtes de paquet IPv4 et IPv6 ? (Choisissez deux réponses.);1;5;2;Le champ Durée de vie d’IPv4 a été remplacé par le champ Limite de nombre de sauts dans IPv6.;Le nom du champ Somme de contrôle d’en-tête d’IPv4 est conservé dans IPv6.;Le champ Version d’IPv4 n’est pas conservé dans IPv6.;Le champ Adresse de destination est une nouveauté d’IPv6.;Le nom du champ Adresse source d’IPv4 est conservé dans IPv6.;1;5;;;;;;;;;;;;
Quelle caractéristique décrit un virus?;1;8;2;logiciels installés sur un périphérique utilisateur qui collectent secrètement des informations sur l’utilisateur.;une attaque qui ralentit ou bloque un périphérique ou un service réseau;l’utilisation d’informations d’identification volées pour accéder à des données privées;un périphérique réseau qui filtre l’accès et le trafic entrant dans un réseau;logiciel sur un routeur qui filtre le trafic en fonction des adresses IP ou des applications;un protocole de tunnel qui fournit aux utilisateurs distants un accès sécurisé au réseau d’une organisation;un périphérique réseau qui filtre l’accès et le trafic entrant dans un réseau;logiciel qui identifie les menaces qui se propagent rapidement;1;8;;;;;;;;;
Trois employés de banque utilisent le réseau d’entreprise. Le premier employé utilise un navigateur Web pour afficher une page Web de la société afin de lire des annonces. Le deuxième employé accède à la base de données d’entreprise pour effectuer des transactions financières. Le troisième employé participe à une importante conférence audio en direct avec d’autres responsables de l’entreprise basés dans les filiales. Si la qualité de service est implémentée sur ce réseau, quelles seront les priorités, des plus importantes au moins importantes, des différents types de données ?;1;4;1;conférence audio, transactions financières, page Web;transactions financières, page Web, conférence audio;conférence audio, page Web, transactions financières;transactions financières, conférence audio, page Web;1;;;;;;;;;;;;;;
Un administrateur réseau ajoute un nouveau réseau local à une filiale. Le nouveau réseau local doit prendre en charge 200 périphériques connectés. Quel est le plus petit masque réseau que l’administrateur réseau peut utiliser pour le nouveau réseau?;1;4;1;255.255.255.192;255.255.255.0;255.255.255.224;255.255.255.240;2;;;;;;;;;;;;;;
Qu’est-ce qu’une fonction de la couche de liaison de données?;1;4;1;fournit des données entre deux applications;fournit une livraison de bout en bout de données entre les hôtes;prévoit l’échange de trames sur un média local commun;fournit la mise en forme des données;3;;;;;;;;;;;;;;
Un hôte tente d’envoyer un paquet à un périphérique sur un segment du réseau local distant, mais il n’y a actuellement aucun mappage dans son cache ARP. Comment le périphérique obtient-il une adresse MAC de destination ?;1;5;1;Il envoie la trame avec une adresse MAC de diffusion.;Il envoie une requête au serveur DNS pour l’adresse MAC de destination.;Il envoie une requête ARP pour l’adresse MAC de la passerelle par défaut.;Il envoie la trame et utilise sa propre adresse MAC comme destination.;Il envoie une requête ARP pour l’adresse MAC du périphérique de destination.;3;;;;;;;;;;;;;
Quelle méthode de commutation supprime les trames qui ne passent pas avec succès le contrôle FCS ?;1;4;1;commutation « cut-through »;commutation sans frontières;mise en mémoire tampon des ports d’entrée;commutation par « stockage et retransmission »;4;;;;;;;;;;;;;;
Quel est l’avantage pour les petites entreprises d’adopter IMAP au lieu de POP ?;1;4;1;IMAP envoie et récupère les e-mails, tandis que POP récupère uniquement les e-mails.;Les messages sont stockés sur les serveurs de messagerie jusqu’à ce qu’ils soient manuellement supprimés sur le client de messagerie.;Lorsque l’utilisateur se connecte à un serveur POP, des copies des messages sont conservées dans le serveur de messagerie pendant une courte période, mais IMAP les conserve pendant une longue période.;POP permet uniquement au client de stocker les messages de façon centralisée, tandis qu’IMAP permet un stockage distribué.;2;;;;;;;;;;;;;;
Un utilisateur se plaint qu’une page Web externe prend plus de temps que la normale pour se charger. La page Web finit par se charger sur la machine utilisateur. Quel outil le technicien doit-il utiliser avec les privilèges d’administrateur pour localiser le problème dans le réseau?;1;4;1;nslookup;ping;tracert;ipconfig /displaydns;3;;;;;;;;;;;;;;
Quelle plage d’adresses link-local peut être attribuée à une interface IPv6 ?;1;4;1;FEC0::/10​;FF00::/8​;FE80::/10;FDEE::/7​;3;;;;;;;;;;;;;;
Un serveur reçoit un paquet client. Le numéro de port de destination du paquet est 22. Quelle application de service le client demande-t-il?;1;4;1;TFTP;SSH;DHCP;DNS;2;;;;;;;;;;;;;;
Quelles sont les deux fonctions d’exécution sur la sous-couche LLC de la couche de liaison de données OSI pour faciliter la communication Ethernet? (Choisissez deux réponses.);1;5;2;Place les informations dans la trame qui indique le protocole de couche réseau encapsulé pour la trame.;intègre des flux de couche 2 entre 10 Gigabit Ethernet sur fibre et 1 Gigabit Ethernet sur cuivre;met en oeuvre CSMA/CD sur un support semi-duplex partagé hérité;Met en œuvre un processus de délimitation des champs dans une trame Ethernet 2;permet à IPv4 et IPv6 d’utiliser le même support physique;1;5;;;;;;;;;;;;
Citez deux caractéristiques communes aux protocoles TCP et UDP. (Choisissez deux propositions.);1;6;2;La numérotation des ports;Connexion en trois étapes;L’utilisation de sommes de contrôle;La possibilité de transmette des données voix numérisées;Une communication sans connexion;La taille de la fenêtre par défaut;1;3;;;;;;;;;;;
Un administrateur réseau ajoute un nouveau réseau local à une filiale. Le nouveau réseau local doit prendre en charge 61 périphériques connectés. Quel est le plus petit masque réseau que l’administrateur réseau peut utiliser pour le nouveau réseau?;1;4;1;255.255.255.192;255.255.255.224;255.255.255.128;255.255.255.0;1;;;;;;;;;;;;;;
Un utilisateur tente sans succès d’accéder à l’adresse http://www.cisco.com/. Quelles sont les deux valeurs de configuration à définir sur l’hôte pour autoriser cet accès ? (Choisissez deux propositions.);1;5;2;Adresse MAC d’origine;Serveur DNS;Numéro du port source;Serveur HTTP;Passerelle par défaut;2;5;;;;;;;;;;;;
Quel service est fourni par DHCP?;1;4;1;Une application qui permet les discussions en ligne en temps réel entre les utilisateurs distants.;Permet l’accès à distance aux périphériques et serveurs réseau.;Utilise le chiffrement pour fournir un accès distant sécurisé aux périphériques et serveurs réseau.;Affecte dynamiquement des adresses IP aux périphériques terminaux et intermédiaires.;4;;;;;;;;;;;;;;
Le bloc d’adresses IPv6 2001:db8:0:ca00::/56 est attribué à une organisation. Combien de sous-réseaux peuvent être créés sans utiliser de bits dans l’espace d’ID d’interface ?;1;4;1;512;256;4096;1024;2;;;;;;;;;;;;;;
Un technicien utilise plusieurs applications sur un ordinateur connecté à Internet. Comment l’ordinateur peut-il suivre le flux de données entre plusieurs sessions d’application et faire en sorte que chaque application reçoit les flux de paquets qu’elle doit recevoir ?;1;4;1;Le suivi du flux de données se fait selon le numéro de port source utilisé par chaque application.;Le suivi du flux de données se fait selon l’adresse MAC de destination utilisée par l’ordinateur du technicien.;Le suivi du flux de données se fait selon l’adresse IP de destination utilisée par l’ordinateur du technicien.;Le suivi du flux de données se fait selon l’adresse IP source utilisée par l’ordinateur du technicien.;1;;;;;;;;;;;;;;
Pourquoi un commutateur de couche 2 nécessite-t-il une adresse IP ?;1;4;1;Pour permettre au commutateur d’être géré à distance;Pour permettre au commutateur d’envoyer des trames de diffusion vers des PC connectés;Pour permettre au commutateur de fonctionner en tant que passerelle par défaut;Pour permettre au commutateur de recevoir des trames provenant de PC connectés;1;;;;;;;;;;;;;;
De quel type de menace à la sécurité parle-t-on lorsqu’un tableur exécuté en tant que logiciel complémentaire désactive le pare-feu logiciel local ?;1;4;1;dépassement de mémoire tampon;DoS;attaques en force;cheval de Troie;4;;;;;;;;;;;;;;
Quelle est l’une des principales caractéristiques de la couche de liaison de données?;1;4;1;Il convertit un flux de bits de données en un code prédéfini.;Il empêche le protocole de couche supérieure de connaître le support physique à utiliser dans la communication.;Il accepte les paquets de la couche 3 et décide du chemin par lequel le paquet doit être transmis à un réseau distant.;La couche physique doit générer les signaux électriques, optiques ou sans fil qui représentent le 1 et le 0 sur le support.;2;;;;;;;;;;;;;;
Quel est le caractère d’un NIC qui le mettrait au niveau de la couche de liaison de données du modèle OSI ?;1;5;1;Raccordez le câble Ethernet.;La pile de protocoles TCP/IP;Adresse MAC;Adresse IP;Port RJ-45;3;;;;;;;;;;;;;
Deux requêtes ping ont été exécutées depuis un hôte sur un réseau local. La première requête ping a été exécutée sur l’adresse IP de la passerelle par défaut de l’hôte et elle a échoué. La deuxième requête ping a été exécutée sur l’adresse IP d’un hôte situé en dehors du réseau local et elle a abouti. Quelle est la cause probable de l’échec de la requête ping ?;1;4;1;La passerelle par défaut est configurée avec une adresse IP incorrecte.;Des règles de sécurité sont appliquées à la passerelle par défaut, ce qui l’empêche de traiter les requêtes ping.;La passerelle par défaut n’est pas opérationnelle.;La pile TCP/IP sur la passerelle par défaut ne fonctionne pas correctement.;2;;;;;;;;;;;;;;
Reportez-vous à l’illustration. L’administrateur réseau a attribué au réseau local de LBMISS une plage d’adresses de 192.168.10.0. Cette plage d’adresses a été sous-réseau à l’aide d’un préfixe /29. Afin d’accueillir un nouveau bâtiment, le technicien a décidé d’utiliser le cinquième sous-réseau pour configurer le nouveau réseau (le sous-réseau zéro est le premier sous-réseau). Par les stratégies d’entreprise, l’interface du routeur reçoit toujours la première adresse d’hôte utilisable et le serveur de groupe de travail reçoit la dernière adresse d’hôte utilisable. Quelle configuration doit être entrée dans les propriétés du serveur de groupe de travail pour permettre la connectivité à Internet?;1;5;1;Adresse IP: 192.168.10.38 masque de sous-réseau: 255.255.255.248, passerelle par défaut: 192.168.10.33;Adresse IP: 192.168.10.65 masque de sous-réseau: 255.255.255.240, passerelle par défaut: 192.168.10.76;Adresse IP: 192.168.10.38 masque de sous-réseau: 255.255.255.240, passerelle par défaut: 192.168.10.33;Adresse IP: 192.168.1.3, masque de sous-réseau: 255.255.255.0, passerelle par défaut: 192.168.1.1;Adresse IP: 192.168.10.41 masque de sous-réseau: 255.255.255.248, passerelle par défaut: 192.168.10.46;1;;;;;;;;;;;;;
Un technicien en réseau étudie l’utilisation du câblage à fibre optique dans un nouveau centre technologique. Quels deux problèmes devraient être pris en compte avant de mettre en œuvre des supports à fibres optiques? (Choisissez deux réponses.);1;5;2;La fibre optique fournit une capacité de données plus élevée mais est plus coûteuse que le câblage en cuivre.;Le câble à fibre optique est capable de résister à une manipulation rugueuse.;Le câblage à fibre optique est sensible à la perte de signal grâce au RFI.;Le câblage à fibre optique nécessite une mise à la terre spécifique pour être immunisé contre les EMI.;Le câblage à fibres optiques nécessite une expertise différente en matière de terminaison et d’épissage de ce que nécessite le câblage en cuivre.;1;5;;;;;;;;;;;;
Que se passe-t-il lorsque la commande transport input ssh est entrée sur les lignes vty du switch?;1;4;1;Le commutateur nécessite une combinaison nom d’utilisateur/mot de passe pour l’accès à distance.;Le client SSH sur le commutateur est activé.;La communication entre le commutateur et les utilisateurs distants est cryptée.;Le commutateur nécessite des connexions à distance via un logiciel client propriétaire.;3;;;;;;;;;;;;;;
Lorsque la configuration d’un commutateur comprend un seuil d’erreur défini par l’utilisateur pour chaque port, à quelle méthode de commutation le commutateur revient-il si le seuil est atteint ?;1;4;1;fragment-free;cut-through;store-and-forward;fast-forward;3;;;;;;;;;;;;;;
Quels sont les deux types de trafic qui utilisent le protocole RTP (Real-Time Transport Protocol)? (Choisissez deux réponses.);1;5;2;Voix;P2P (peer-to-peer);transfert de fichier;Web;Vidéo;1;5;;;;;;;;;;;;
Quels sont les deux messages ICMPv6 qui ne sont pas présents dans ICMP pour IPv4? (Choisissez deux réponses.);1;6;2;Sollicitation de voisin;Destination injoignable;Confirmation de l’hôte;Redirection de la route;Annonce de routeur;Dépassement du délai;1;5;;;;;;;;;;;
Quel service est fourni par SMTP?;1;4;1;Permet l’accès à distance aux périphériques et serveurs réseau.;Une application qui permet les discussions en ligne en temps réel entre les utilisateurs distants.;Permet aux clients d’envoyer des courriels à un serveur de messagerie et aux serveurs d’envoyer des courriels à d’autres serveurs.;Utilise le chiffrement pour fournir un accès distant sécurisé aux périphériques et serveurs réseau.;3;;;;;;;;;;;;;;
Quels sont les deux types de messages ICMPv6 qui doivent être autorisés par les listes de contrôle d’accès IPv6 pour permettre la résolution des adresses de couche 3 en adresses MAC de couche 2 ? (Choisissez deux réponses.);1;6;2;Sollicitation de voisin;une requête d’écho;une réponse d’écho;Annonce de routeur;Annonce de voisin;Sollicitation de routeur;1;5;;;;;;;;;;;
Un administrateur réseau cherche à préserver la confidentialité de l’ID utilisateur, du mot de passe et du contenu des sessions lorsqu’il configure une connexion distante CLI gérée par un commutateur. Quel est le mode d’accès le plus approprié ?;1;4;1;SSH;AUX;Console;Telnet;1;;;;;;;;;;;;;;
Un serveur reçoit un paquet client. Le numéro de port de destination du paquet est 110. Quelle application de service le client demande-t-il?;1;4;1;SMTP;DHCP;POP3;DNS;3;;;;;;;;;;;;;;
Reportez-vous à l’illustration. Un ingénieur réseau a reçu l’adresse réseau 192.168.99.0 et un masque de sous-réseau 255.255.255.192 pour le sous-réseau sur les quatre réseaux indiqués. Combien d’adresses hôtes au total sont inutilisées sur les quatre sous-réseaux?;1;5;1;72;88;158;200;224;4;;;;;;;;;;;;;
Quelles sont les deux fonctions exécutées sur la sous-couche LLC de la couche de liaison de données OSI pour faciliter la communication Ethernet ? (Choisissez deux propositions.);1;5;2;applique les adresses MAC source et destination à la trame Ethernet;implémente CSMA/CD sur un support semi-duplex partagé hérité;Place les informations dans la trame qui indique le protocole de couche réseau encapsulé pour la trame.;intègre des flux de couche 2 entre 10 Gigabit Ethernet sur fibre et 1 Gigabit Ethernet sur cuivre;ajoute des informations de contrôle Ethernet aux données du protocole réseau;3;5;;;;;;;;;;;;
Quelles sont les deux méthodes les plus efficaces pour la protection contre les programmes malveillants ? (Choisissez deux réponses.);1;6;2;Installer et mettre à jour un logiciel antivirus;Implémenter RAID;Implémenter des mots de passe forts;Implémenter des pare-feu réseau;Implémenter un VPN;Mettre à jour le système d’exploitation et d’autres logiciels d’application;1;6;;;;;;;;;;;
Quel est l’ID de sous-réseau associé à l’adresse IPv6 2001:DA48:FC5:A4:3D1B::1/64 ?;1;4;1;2001:DA48::/64​;2001:DA48:FC5::A4:/64;2001:DA48:FC5:A4::/64​;2001 : :/64;3;;;;;;;;;;;;;;
Un utilisateur envoie une requête HTTP à un serveur Web sur un réseau distant. Pendant l’encapsulation de cette requête, quelles informations sont ajoutées au champ d’adresse d’une trame pour indiquer la destination ?;1;4;1;L’adresse MAC de l’hôte de destination;L’adresse MAC de la passerelle par défaut;Le domaine réseau de l’hôte de destination;L’adresse IP de la passerelle par défaut;2;;;;;;;;;;;;;;
Un serveur reçoit un paquet client. Le numéro de port de destination du paquet est 21. Quelle application de service le client demande-t-il?;1;4;1;DHCP;SSH;FTP;TFTP;3;;;;;;;;;;;;;;
Quel service est fourni par POP3 ?;1;4;1;Une application qui permet de chatter en temps réel entre utilisateurs distants.;Utilise le chiffrement pour fournir un accès distant sécurisé aux périphériques et serveurs réseau.;Récupère le courrier électronique à partir du serveur en téléchargeant le courrier électronique vers l’application de messagerie locale du client.;Permet l’accès à distance aux périphériques et serveurs réseau.;3;;;;;;;;;;;;;;
Quel masque de sous-réseau faut-il utiliser si un réseau IPv4 comporte 40 terminaux nécessitant des adresses IP et que l’on veut éviter de gaspiller l’espace d’adressage ?;1;5;1;255.255.255.0;255.255.255.240;255.255.255.128;255.255.255.192;255.255.255.224;4;;;;;;;;;;;;;
Un serveur reçoit un paquet client. Le numéro de port de destination du paquet est 80. Quelle application de service le client demande-t-il?;1;4;1;SMTP;DNS;HTTP;DHCP;3;;;;;;;;;;;;;;
Un administrateur réseau ajoute un nouveau réseau local à une filiale. Le nouveau réseau local doit prendre en charge 10 périphériques connectés. Quel est le plus petit masque réseau que l’administrateur réseau peut utiliser pour le nouveau réseau?;1;4;1;255.255.255.248;255.255.255.240;255.255.255.224;255.255.255.192;2;;;;;;;;;;;;;;
Quel avantage présente l’utilisation d’un protocole défini par une norme ouverte ?;1;4;1;Une entreprise peut avoir le monopole sur le marché.;Un protocole à norme ouverte n’est ni contrôlé ni régulé par des organismes de normalisation.;Il favorise la compétitivité et permet de choisir.;Le protocole peut être exécuté uniquement sur un équipement d’un fournisseur particulier.;3;;;;;;;;;;;;;;
Quelles sont les deux principales responsabilités de la sous-couche Ethernet MAC ? (Choisissez deux réponses.);1;5;2;détection d’erreurs;délimitation du cadre;accéder aux médias;encapsulation de données;adressage logique;3;4;;;;;;;;;;;;
Quelles sont les deux commandes utilisables sur un hôte Windows pour afficher la table de routage ? (Choisissez deux réponses.);1;5;2;nestat -s;impression d'itinéraire;afficher l'itinéraire IP;netstat -r;tracer;2;4;;;;;;;;;;;;
Quelle caractéristique décrit le vol d’identité ?;1;4;1;l’utilisation d’identifiants volés pour accéder à des données privées;logiciel sur un routeur qui filtre le trafic en fonction des adresses IP ou des applications;logiciel qui identifie les menaces à propagation rapide;un protocole de tunneling qui fournit aux utilisateurs distants un accès sécurisé au réseau d’une organisation;1;;;;;;;;;;;;;;
Quelles sont les deux informations affichées dans la sortie de la commande show ip interface brief ? (Choisissez deux réponses.);1;6;2;Adresses IP;description des interfaces;Adresses MAC;adresses de saut suivant;Statuts de la couche 1;Paramètres de vitesse et de duplex;1;5;;;;;;;;;;;
Un administrateur réseau ajoute un nouveau réseau local à une succursale. Le nouveau LAN doit prendre en charge 90 appareils connectés. Quel est le plus petit masque de réseau que l’administrateur réseau peut utiliser pour le nouveau réseau ?;1;4;1;255.255.255.128;255.255.255.240;255.255.255.248;255.255.255.224;1;;;;;;;;;;;;;;
Quel service est fourni par HTTP ?;1;4;1;Utilise le cryptage pour sécuriser l’échange de texte, d’images graphiques, de sons et de vidéos sur le Web.;Permet les transferts de données entre un client et un serveur de fichiers.;Une application qui permet de discuter en temps réel entre utilisateurs distants.;Un ensemble de règles de base pour l’échange de texte, d’images graphiques, de sons, de vidéos et d’autres fichiers multimédias sur le Web.;4;;;;;;;;;;;;;;
Un paquet client est reçu par un serveur. Le paquet a un numéro de port de destination de 67. Quel service le client demande-t-il ?;1;4;1;FTP;DHCP;Telnet;SSH;2;;;;;;;;;;;;;;
Pendant le processus de transfert du trafic, que fera le routeur immédiatement après avoir fait correspondre l’adresse IP de destination à un réseau sur une entrée de table de routage directement connectée ?;1;4;1;analyser l’adresse IP de destination;basculer le paquet vers l’interface directement connectée;rechercher l’adresse du prochain saut pour le paquet;jeter le trafic après avoir consulté la table de routage;2;;;;;;;;;;;;;;
Quelle caractéristique décrit l’antispyware ?;1;4;1;applications qui protègent les terminaux contre l’infection par des logiciels malveillants;un appareil réseau qui filtre l’accès et le trafic entrant dans un réseau;logiciel sur un routeur qui filtre le trafic en fonction des adresses IP ou des applications;un protocole de tunneling qui fournit aux utilisateurs distants un accès sécurisé au réseau d’une organisation;1;;;;;;;;;;;;;;
Quelles sont les deux solutions de sécurité les plus susceptibles d’être utilisées uniquement dans un environnement d’entreprise ? (Choisissez deux réponses.);1;5;2;antispyware;réseaux privés virtuels;systèmes de prévention des intrusions;mots de passe forts;logiciel antivirus;2;3;;;;;;;;;;;;
Quelle caractéristique décrit un logiciel antivirus ?;1;4;1;applications qui protègent les terminaux contre l’infection par des logiciels malveillants;un appareil réseau qui filtre l’accès et le trafic entrant dans un réseau;un protocole de tunneling qui fournit aux utilisateurs distants un accès sécurisé au réseau d’une organisation;logiciel sur un routeur qui filtre le trafic en fonction des adresses IP ou des applications;1;;;;;;;;;;;;;;
Quelles sont les trois parties d’une adresse de monodiffusion globale IPv6 ? (Choisissez trois réponses.);1;5;3;ID de sous-réseau;masque de sous-réseau;adresse de diffusion;préfixe de routage global;ID d'interface;1;4;5;;;;;;;;;;;
Quelle caractéristique décrit un logiciel espion ?;1;4;1;un appareil réseau qui filtre l’accès et le trafic entrant dans un réseau;logiciel installé sur l’appareil de l’utilisateur et collectant des informations sur l’utilisateur;une attaque qui ralentit ou bloque un appareil ou un service réseau;l’utilisation d’identifiants volés pour accéder à des données privées;2;;;;;;;;;;;;;;
Quel service est fourni par FTP ?;1;4;1;Un ensemble de règles de base pour l’échange de texte, d’images graphiques, de sons, de vidéos et d’autres fichiers multimédias sur le Web.;Une application qui permet de discuter en temps réel entre utilisateurs distants.;Permet les transferts de données entre un client et un serveur de fichiers.;Utilise le cryptage pour sécuriser l’échange de texte, d’images graphiques, de sons et de vidéos sur le Web.;3;;;;;;;;;;;;;;
Quels sont les deux déclarations qui décrivent avec précision un avantage ou un inconvénient lors du déploiement de la NAT pour IPv4 dans un réseau ? (Choisissez deux réponses.);1;6;2;NAT introduit des problèmes pour certaines applications nécessitant une connectivité de bout en bout.;NAT fournit une solution pour ralentir l’épuisement des adresses IPv4.;Le NAT aura un impact négatif sur les performances des commutateurs.;NAT améliore le traitement des paquets.;NAT permet aux tables de routage d’inclure plus d’informations.;NAT ajoute une capacité d’authentification à IPv4.;1;2;;;;;;;;;;;
Quel service est fourni par BOOTP ?;1;4;1;Utilise le cryptage pour sécuriser l’échange de texte, d’images graphiques, de sons et de vidéos sur le Web.;Permet les transferts de données entre un client et un serveur de fichiers.;Application héritée qui permet à un poste de travail sans disque de découvrir sa propre adresse IP et de trouver un serveur BOOTP sur le réseau.;Un ensemble de règles de base pour l’échange de texte, d’images graphiques, de sons, de vidéos et d’autres fichiers multimédias sur le Web.;3;;;;;;;;;;;;;;
Quelle caractéristique décrit un logiciel publicitaire ?;1;4;1;un appareil réseau qui filtre l’accès et le trafic entrant dans un réseau;logiciel installé sur l’appareil de l’utilisateur et collectant des informations sur l’utilisateur;l’utilisation d’identifiants volés pour accéder à des données privées;une attaque qui ralentit ou bloque un appareil ou un service réseau;2;;;;;;;;;;;;;;
Quelle caractéristique décrit un VPN ?;1;4;1;logiciel sur un routeur qui filtre le trafic en fonction des adresses IP ou des applications;logiciel qui identifie les menaces à propagation rapide;un protocole de tunnel qui fournit aux utilisateurs distants un accès sécurisé au réseau d’une organisation;un appareil réseau qui filtre l’accès et le trafic entrant dans un réseau;3;;;;;;;;;;;;;;
Quelles sont les trois normes couramment suivies pour la construction et l’installation du câblage ? (Choisissez trois réponses.);1;6;3;coût par mètre (pied);longueurs de câble;couleur du connecteur;brochages;types de connecteurs;résistance à la traction de l’isolant en plastique;2;4;5;;;;;;;;;;
Un paquet client est reçu par un serveur. Le paquet a un numéro de port de destination de 143. Quel service le client demande-t-il ?;1;4;1;IMAP;FTP;SSH;Telnet;1;;;;;;;;;;;;;;
Un utilisateur exécute un tracert sur un périphérique distant. À quel moment un routeur, qui se trouve sur le chemin de l’appareil de destination, arrêterait-il de transférer le paquet ?;1;5;1;lorsque le routeur reçoit un message ICMP Time Exceeded;lorsque la valeur RTT atteint zéro;lorsque l’hôte répond avec un message ICMP Echo Reply;lorsque la valeur du champ TTL atteint zéro;lorsque les valeurs des messages de demande d’écho et de réponse d’écho atteignent zéro;4;;;;;;;;;;;;;
Quelle couche du modèle TCP/IP fournit une route pour transférer les messages via un interréseau ?;1;4;1;demande;accès au réseau;internet;transport;3;;;;;;;;;;;;;;
Une imprimante laser filaire est connectée à un ordinateur personnel. Cette imprimante a été partagée afin que d’autres ordinateurs du réseau domestique puissent également utiliser l’imprimante. Quel modèle de réseau est utilisé ?;1;4;1;basé sur le client ;maître-esclave;point à point ;pair à pair (P2P);4;;;;;;;;;;;;;;
Quel service est fourni par Internet Messenger ?;1;4;1;Une application qui permet de discuter en temps réel entre utilisateurs distants.;Autorise l’accès à distance aux périphériques réseau et aux serveurs.;Résout les noms de domaine, tels que cisco.com, en adresses IP.;Utilise le chiffrement pour fournir un accès distant sécurisé aux périphériques réseau et aux serveurs.;1;;;;;;;;;;;;;;
Un paquet client est reçu par un serveur. Le paquet a un numéro de port de destination de 53. Quel service le client demande-t-il ?;1;4;1;DNS;NetBIOS (NetBT);POP3;IMAP;1;;;;;;;;;;;;;;
Un administrateur réseau ajoute un nouveau réseau local à une succursale. Le nouveau LAN doit prendre en charge 25 appareils connectés. Quel est le plus petit masque de réseau que l’administrateur réseau peut utiliser pour le nouveau réseau ?;1;4;1;255.255.255.128;255.255.255.192;255.255.255.224;255.255.255.240;3;;;;;;;;;;;;;;
Quelle caractéristique décrit une attaque DoS ?;1;4;1;l’utilisation d’identifiants volés pour accéder à des données privées;un appareil réseau qui filtre l’accès et le trafic entrant dans un réseau;logiciel installé sur l’appareil de l’utilisateur et collectant des informations sur l’utilisateur;une attaque qui ralentit ou bloque un appareil ou un service réseau;4;;;;;;;;;;;;;;
Quelle caractéristique décrit un IPS ?;1;4;1;un protocole de tunneling qui fournit aux utilisateurs distants un accès sécurisé au réseau d’une organisation;un appareil réseau qui filtre l’accès et le trafic entrant dans un réseau;logiciel qui identifie les menaces à propagation rapide;logiciel sur un routeur qui filtre le trafic en fonction des adresses IP ou des applications;3;;;;;;;;;;;;;;
Quelle technologie sans fil a des exigences de faible consommation et de faible débit de données, ce qui la rend populaire dans les environnements IoT ?;1;4;1;Bluetooth;Zigbee;WiMAX;Wi-Fi;2;;;;;;;;;;;;;;
